error,mean_value,lower_bound,upper_bound
0.19,65.42646,52.7125,77.8075
0.18,65.8397,54.28,78.5005
0.17,64.8553,52.3355,77.142
0.16,65.05382,52.2395,78.128
0.15,63.72136,51.0175,75.1005
0.14,63.88948,51.9195,76.021
0.13,62.9381,51.039,74.4405
0.12,62.20702,49.813,74.5835
0.11,61.76064,49.68,74.4485
0.1,60.13382,47.9495,71.7835
0.09,58.99912,47.3195,71.642
0.08,57.28456,45.433,69.162
0.07,55.81546,44.5995,67.56
0.06,54.14998,41.399,65.2005
0.05,51.23794,41.399,62.22
0.04,49.5739,38.82,60.7405
0.03,45.75522,34.8595,56.7615
0.02,42.23282,32.479,52.0035
0.01,38.64104,29.859,48.2215
0,33.01478,24.699,41.36
